1,1056,627,185,764,840,840,764,7,258,258,840,NaN,NaN,NaN,2441,764,2441,185,2441,258,1056,1,840,185,627,NaN,NaN,NaN,7
1,1056,627,185,764,840,840,764,7,258,258,840,NaN,NaN,NaN,2441,764,2441,185,2441,258,1056,1,840,185,627,NaN,NaN,NaN,7
1,3300,627,185,764,840,840,764,7,301,301,840,NaN,NaN,NaN,2441,764,2441,185,2441,3300,3300,1,840,185,627,NaN,NaN,NaN,7
1,2659,627,185,764,2659,2659,764,7,301,301,2659,NaN,NaN,NaN,2441,764,2441,185,2441,2659,2659,1,2659,185,627,NaN,NaN,NaN,7
1,2659,627,185,764,2659,2659,764,7,301,301,2659,NaN,NaN,NaN,2441,764,2441,185,2441,2659,2659,1,2659,185,627,NaN,NaN,NaN,7
1,2659,627,185,764,2659,2659,764,7,301,301,2659,NaN,NaN,NaN,2441,764,2441,185,2441,2659,2659,1,2659,185,627,NaN,NaN,NaN,7
1,2659,3301,185,764,2659,2659,764,3301,301,301,2659,NaN,NaN,NaN,2441,764,2441,185,2441,2659,2659,1,2659,185,3301,NaN,NaN,NaN,3301
1,3302,3301,185,764,3302,341,764,3301,301,301,341,NaN,NaN,NaN,2441,764,2441,185,2441,3302,3302,1,341,185,3301,NaN,NaN,NaN,3301
1,3302,3301,3303,764,3302,341,764,3301,301,301,341,NaN,NaN,NaN,3303,764,3303,3303,3303,3302,3302,1,341,3303,3301,NaN,NaN,NaN,3301
1,3302,3301,3303,764,3302,341,764,3301,301,301,341,NaN,NaN,NaN,3303,764,3303,3303,3303,3302,3302,1,341,3303,3301,NaN,NaN,NaN,3301
